ProjectID,GearID,Date,LatDeg,LatMin,LongDeg,LongMin,SampleDepth,BottomTemp,Sampler,Flounder,BottomType,ReefName,SampleID,SpCode,Specimen,TL,SL,TotalWeight,GonadWeight,SomaticWeight,Sex,Maturity,LeftOtolith,RightOtolith,Histology,Age,MOD,YearClass,Frozen,POFs,Atresia,CommonName,ScientificName,FamilyName
T51,065,2007-10-13,33,41.957,78,26.639,20,,"Scott McClary",T,"Artificial Reef","Little River Reefs PA 1 & PA 2",70034,A414,21,535,,,,,F,2,T,T,T,4,310,2003,T,,,"Southern Flounder","Paralichthys lethostigma",Paralichthyidae
T51,065,2007-10-13,33,41.957,78,26.639,20,,"Scott McClary",T,"Artificial Reef","Little River Reefs PA 1 & PA 2",70034,A412,4,545,,,,,F,2,T,F,T,8,409,1999,T,,,"Gulf Flounder","Paralichthys albigutta",Paralichthyidae
T51,065,2007-10-13,33,41.957,78,26.639,20,,"Scott McClary",T,"Artificial Reef","Little River Reefs PA 1 & PA 2",70034,A414,2,578,,,,,F,2,T,F,T,4,544,2003,T,,,"Southern Flounder","Paralichthys lethostigma",Paralichthyidae
T51,065,2007-10-13,33,41.957,78,26.639,20,,"Scott McClary",T,"Artificial Reef","Little River Reefs PA 1 & PA 2",70034,A414,17,493,,,,,F,5,T,T,T,3,,2004,T,,,"Southern Flounder","Paralichthys lethostigma",Paralichthyidae
T51,065,2007-10-13,33,41.957,78,26.639,20,,"Scott McClary",T,"Artificial Reef","Little River Reefs PA 1 & PA 2",70034,A412,15,540,,,,,F,5,T,T,T,5,265,2002,T,,,"Gulf Flounder","Paralichthys albigutta",Paralichthyidae
T51,065,2007-09-28,32,33.147,79,40.249,18,,SCDNR,T,"Artificial Reef","Charleston 60",70035,A414,1,395,,,,,F,2,T,T,T,2,520,2005,F,,,"Southern Flounder","Paralichthys lethostigma",Paralichthyidae
T51,065,2007-09-28,32,33.147,79,40.249,18,,SCDNR,T,"Artificial Reef","Charleston 60",70035,A412,4,401,,,,,F,2,T,T,T,2,300,2005,F,,,"Gulf Flounder","Paralichthys albigutta",Paralichthyidae
T51,065,2007-09-28,32,33.147,79,40.249,18,,SCDNR,T,"Artificial Reef","Charleston 60",70035,A412,3,458,,,,,F,5,T,T,T,5,190,2002,F,,,"Gulf Flounder","Paralichthys albigutta",Paralichthyidae
T51,065,2007-09-28,32,33.147,79,40.249,18,,SCDNR,T,"Artificial Reef","Charleston 60",70035,A412,2,511,,,,,F,2,T,T,T,4,300,2003,F,,,"Gulf Flounder","Paralichthys albigutta",Paralichthyidae
T51,065,2007-09-28,32,33.147,79,40.249,18,,SCDNR,T,"Artificial Reef","Charleston 60",70035,A412,5,446,,,,,F,2,T,T,T,5,540,2002,F,,,"Gulf Flounder","Paralichthys albigutta",Paralichthyidae
T51,065,2007-09-28,32,33.147,79,40.249,18,,SCDNR,T,"Artificial Reef","Charleston 60",70035,A412,1,465,,,,,F,,T,T,T,5,,2002,F,,,"Gulf Flounder","Paralichthys albigutta",Paralichthyidae
T51,065,2007-10-14,32,30.950,79,40.078,29,,"Owen Hecht",T,"Live Bottom","Owen's Live Bottom",70036,A412,3,497,,,,,F,5,T,T,T,5,200,2002,F,,,"Gulf Flounder","Paralichthys albigutta",Paralichthyidae
T51,065,2007-10-14,32,30.950,79,40.078,29,,"Owen Hecht",T,"Live Bottom","Owen's Live Bottom",70036,A412,2,410,,,,,F,5,T,T,T,3,200,2004,F,,,"Gulf Flounder","Paralichthys albigutta",Paralichthyidae
T51,065,2007-10-14,32,30.950,79,40.078,29,,"Owen Hecht",T,"Live Bottom","Owen's Live Bottom",70036,A412,1,610,,,,,F,5,T,T,T,6,200,2001,F,,,"Gulf Flounder","Paralichthys albigutta",Paralichthyidae
T51,065,2007-10-14,32,30.950,79,40.078,29,,"Owen Hecht",T,"Live Bottom","Owen's Live Bottom",70036,A412,4,385,,,,,M,12,T,T,T,4,,2003,F,,,"Gulf Flounder","Paralichthys albigutta",Paralichthyidae
T51,065,2007-10-13,32,19.191,79,37.642,28,,"James Cockrill",T,"Live Bottom","James' Live Bottom",70037,A412,1,399,,,,,F,5,T,T,T,3,236,2004,F,,,"Gulf Flounder","Paralichthys albigutta",Paralichthyidae
T51,065,2007-10-20,32,33.354,79,40.299,18,,"Owen Hecht",T,"AR Metal Wreck","Charleston 60 240 Barge",70038,A412,1,493,,,,,F,11,T,T,T,6,1154,2001,F,,,"Gulf Flounder","Paralichthys albigutta",Paralichthyidae
T51,065,2007-11-17,33,31.071,78,58.140,10,,"Cabell Young",T,"Artificial Reef","Paradise Reef PA 9",70039,A412,1,436,,,,,F,,T,F,T,2,,2005,F,,,"Gulf Flounder","Paralichthys albigutta",Paralichthyidae
T51,065,2007-11-17,33,31.071,78,58.140,10,,"Cabell Young",T,"Artificial Reef","Paradise Reef PA 9",70039,A412,2,522,,,,,F,5,F,T,T,4,200,2003,F,,,"Gulf Flounder","Paralichthys albigutta",Paralichthyidae
T51,065,2007-11-17,33,31.071,78,58.140,10,,"Cabell Young",T,"Artificial Reef","Paradise Reef PA 9",70039,A414,1,471,,,,,F,2,T,T,T,3,580,2004,F,,,"Southern Flounder","Paralichthys lethostigma",Paralichthyidae
T51,065,2007-10-14,33,50.200,78,22.100,11,,"John Mclauren",T,"Artificial Reef","AR 460",70040,A414,2,513,,,,,F,2,T,T,T,5,350,2002,F,,,"Southern Flounder","Paralichthys lethostigma",Paralichthyidae
T51,065,2007-10-14,33,50.200,78,22.100,11,,"John Mclauren",T,"Artificial Reef","AR 460",70040,A412,1,391,,,,,F,5,T,T,T,2,220,2005,F,,,"Gulf Flounder","Paralichthys albigutta",Paralichthyidae
T51,065,2007-10-14,33,50.200,78,22.100,11,,"John Mclauren",T,"Artificial Reef","AR 460",70040,A414,1,522,,,,,F,2,T,T,T,4,480,2003,F,,,"Southern Flounder","Paralichthys lethostigma",Paralichthyidae
T51,065,2007-10-13,33,48.812,78,30.514,10,,"John Mclauren",T,"Artificial Reef","Little River Reef PA 1",70041,A414,2,436,,,,,F,5,T,T,T,3,248,2004,F,,,"Southern Flounder","Paralichthys lethostigma",Paralichthyidae
T51,065,2007-10-13,33,48.812,78,30.514,10,,"John Mclauren",T,"Artificial Reef","Little River Reef PA 1",70041,A414,1,443,,,,,F,5,T,T,T,2,200,2005,F,,,"Southern Flounder","Paralichthys lethostigma",Paralichthyidae
T51,065,2007-10-12,33,48.812,78,30.514,10,,"John Mclauren",T,"Artificial Reef","Little River Reef PA 1",70042,A414,2,419,,,,,F,2,T,T,T,4,360,2003,F,,,"Southern Flounder","Paralichthys lethostigma",Paralichthyidae
T51,065,2007-10-12,33,48.812,78,30.514,10,,"John Mclauren",T,"Artificial Reef","Little River Reef PA 1",70042,A414,1,579,,,,,F,2,T,T,T,4,280,2003,F,,,"Southern Flounder","Paralichthys lethostigma",Paralichthyidae
T51,065,2007-10-12,33,48.812,78,30.514,10,,"John Mclauren",T,"Artificial Reef","Little River Reef PA 1",70042,A414,4,420,,,,,F,2,T,T,T,3,330,2004,F,,,"Southern Flounder","Paralichthys lethostigma",Paralichthyidae
